Codepoint,Property,Description
11238-1123D,ID_DIS or FREE_PVAL,KHOJKI DANDA..KHOJKI ABBREVIATION SIGN
1123E-11241,PVALID,KHOJKI SIGN SUKUN..KHOJKI VOWEL SIGN VOCALIC R
11242-1127F,UNASSIGNED,<RESERVED>..<RESERVED>
11280-11286,PVALID,MULTANI LETTER A..MULTANI LETTER GA
11287,UNASSIGNED,<RESERVED>
11288,PVALID,MULTANI LETTER GHA
11289,UNASSIGNED,<RESERVED>
1128A-1128D,PVALID,MULTANI LETTER CA..MULTANI LETTER JJA
1128E,UNASSIGNED,<RESERVED>
1128F-1129D,PVALID,MULTANI LETTER NYA..MULTANI LETTER BA
1129E,UNASSIGNED,<RESERVED>
1129F-112A8,PVALID,MULTANI LETTER BHA..MULTANI LETTER RHA
112A9,ID_DIS or FREE_PVAL,MULTANI SECTION MARK
112AA-112AF,UNASSIGNED,<RESERVED>..<RESERVED>
112B0-112EA,PVALID,KHUDAWADI LETTER A..KHUDAWADI SIGN VIRAMA
112EB-112EF,UNASSIGNED,<RESERVED>..<RESERVED>
112F0-112F9,PVALID,KHUDAWADI DIGIT ZERO..KHUDAWADI DIGIT NINE
112FA-112FF,UNASSIGNED,<RESERVED>..<RESERVED>
11300-11303,PVALID,GRANTHA SIGN COMBINING ANUSVARA ABOVE..GRANTHA SIGN VISARGA
11304,UNASSIGNED,<RESERVED>
11305-1130C,PVALID,GRANTHA LETTER A..GRANTHA LETTER VOCALIC L
1130D-1130E,UNASSIGNED,<RESERVED>..<RESERVED>
1130F-11310,PVALID,GRANTHA LETTER EE..GRANTHA LETTER AI
11311-11312,UNASSIGNED,<RESERVED>..<RESERVED>
11313-11328,PVALID,GRANTHA LETTER OO..GRANTHA LETTER NA
11329,UNASSIGNED,<RESERVED>
1132A-11330,PVALID,GRANTHA LETTER PA..GRANTHA LETTER RA
11331,UNASSIGNED,<RESERVED>
11332-11333,PVALID,GRANTHA LETTER LA..GRANTHA LETTER LLA
11334,UNASSIGNED,<RESERVED>
11335-11339,PVALID,GRANTHA LETTER VA..GRANTHA LETTER HA
1133A,UNASSIGNED,<RESERVED>
1133B-11344,PVALID,COMBINING BINDU BELOW..GRANTHA VOWEL SIGN VOCALIC RR
11345-11346,UNASSIGNED,<RESERVED>..<RESERVED>
11347-11348,PVALID,GRANTHA VOWEL SIGN EE..GRANTHA VOWEL SIGN AI
11349-1134A,UNASSIGNED,<RESERVED>..<RESERVED>
1134B-1134D,PVALID,GRANTHA VOWEL SIGN OO..GRANTHA SIGN VIRAMA
1134E-1134F,UNASSIGNED,<RESERVED>..<RESERVED>
11350,PVALID,GRANTHA OM
11351-11356,UNASSIGNED,<RESERVED>..<RESERVED>
11357,PVALID,GRANTHA AU LENGTH MARK
11358-1135C,UNASSIGNED,<RESERVED>..<RESERVED>
1135D-11363,PVALID,GRANTHA SIGN PLUTA..GRANTHA VOWEL SIGN VOCALIC LL
11364-11365,UNASSIGNED,<RESERVED>..<RESERVED>
11366-1136C,PVALID,COMBINING GRANTHA DIGIT ZERO..COMBINING GRANTHA DIGIT SIX
1136D-1136F,UNASSIGNED,<RESERVED>..<RESERVED>
11370-11374,PVALID,COMBINING GRANTHA LETTER A..COMBINING GRANTHA LETTER PA
11375-1137F,UNASSIGNED,<RESERVED>..<RESERVED>
11380-11389,PVALID,TULU-TIGALARI LETTER A..TULU-TIGALARI LETTER VOCALIC LL
1138A,UNASSIGNED,<RESERVED>
1138B,PVALID,TULU-TIGALARI LETTER EE
1138C-1138D,UNASSIGNED,<RESERVED>..<RESERVED>
1138E,PVALID,TULU-TIGALARI LETTER AI
1138F,UNASSIGNED,<RESERVED>
11390-113B5,PVALID,TULU-TIGALARI LETTER OO..TULU-TIGALARI LETTER LLLA
113B6,UNASSIGNED,<RESERVED>
113B7-113C0,PVALID,TULU-TIGALARI SIGN AVAGRAHA..TULU-TIGALARI VOWEL SIGN VOCALIC LL
113C1,UNASSIGNED,<RESERVED>
113C2,PVALID,TULU-TIGALARI VOWEL SIGN EE
113C3-113C4,UNASSIGNED,<RESERVED>..<RESERVED>
113C5,PVALID,TULU-TIGALARI VOWEL SIGN AI
113C6,UNASSIGNED,<RESERVED>
113C7-113CA,PVALID,TULU-TIGALARI VOWEL SIGN OO..TULU-TIGALARI SIGN CANDRA ANUNASIKA
113CB,UNASSIGNED,<RESERVED>
113CC-113D3,PVALID,TULU-TIGALARI SIGN ANUSVARA..TULU-TIGALARI SIGN PLUTA
113D4-113D5,ID_DIS or FREE_PVAL,TULU-TIGALARI DANDA..TULU-TIGALARI DOUBLE DANDA
113D6,UNASSIGNED,<RESERVED>
113D7-113D8,ID_DIS or FREE_PVAL,TULU-TIGALARI SIGN OM PUSHPIKA..TULU-TIGALARI SIGN SHRII PUSHPIKA
113D9-113E0,UNASSIGNED,<RESERVED>..<RESERVED>
113E1-113E2,PVALID,TULU-TIGALARI VEDIC TONE SVARITA..TULU-TIGALARI VEDIC TONE ANUDATTA
113E3-113FF,UNASSIGNED,<RESERVED>..<RESERVED>
11400-1144A,PVALID,NEWA LETTER A..NEWA SIDDHI
1144B-1144F,ID_DIS or FREE_PVAL,NEWA DANDA..NEWA ABBREVIATION SIGN
11450-11459,PVALID,NEWA DIGIT ZERO..NEWA DIGIT NINE
1145A-1145B,ID_DIS or FREE_PVAL,NEWA DOUBLE COMMA..NEWA PLACEHOLDER MARK
1145C,UNASSIGNED,<RESERVED>
1145D,ID_DIS or FREE_PVAL,NEWA INSERTION SIGN
1145E-11461,PVALID,NEWA SANDHI MARK..NEWA SIGN UPADHMANIYA
11462-1147F,UNASSIGNED,<RESERVED>..<RESERVED>
11480-114C5,PVALID,TIRHUTA ANJI..TIRHUTA GVANG
114C6,ID_DIS or FREE_PVAL,TIRHUTA ABBREVIATION SIGN
114C7,PVALID,TIRHUTA OM
114C8-114CF,UNASSIGNED,<RESERVED>..<RESERVED>
114D0-114D9,PVALID,TIRHUTA DIGIT ZERO..TIRHUTA DIGIT NINE
114DA-1157F,UNASSIGNED,<RESERVED>..<RESERVED>
11580-115B5,PVALID,SIDDHAM LETTER A..SIDDHAM VOWEL SIGN VOCALIC RR
115B6-115B7,UNASSIGNED,<RESERVED>..<RESERVED>
115B8-115C0,PVALID,SIDDHAM VOWEL SIGN E..SIDDHAM SIGN NUKTA
115C1-115D7,ID_DIS or FREE_PVAL,SIDDHAM SIGN SIDDHAM..SIDDHAM SECTION MARK WITH CIRCLES AND FOUR ENCLOSURES
115D8-115DD,PVALID,SIDDHAM LETTER THREE-CIRCLE ALTERNATE I..SIDDHAM VOWEL SIGN ALTERNATE UU
115DE-115FF,UNASSIGNED,<RESERVED>..<RESERVED>
11600-11640,PVALID,MODI LETTER A..MODI SIGN ARDHACANDRA
11641-11643,ID_DIS or FREE_PVAL,MODI DANDA..MODI ABBREVIATION SIGN
11644,PVALID,MODI SIGN HUVA
11645-1164F,UNASSIGNED,<RESERVED>..<RESERVED>
11650-11659,PVALID,MODI DIGIT ZERO..MODI DIGIT NINE
1165A-1165F,UNASSIGNED,<RESERVED>..<RESERVED>
11660-1166C,ID_DIS or FREE_PVAL,MONGOLIAN BIRGA WITH ORNAMENT..MONGOLIAN TURNED SWIRL BIRGA WITH DOUBLE ORNAMENT
1166D-1167F,UNASSIGNED,<RESERVED>..<RESERVED>
11680-116B8,PVALID,TAKRI LETTER A..TAKRI LETTER ARCHAIC KHA
116B9,ID_DIS or FREE_PVAL,TAKRI ABBREVIATION SIGN
116BA-116BF,UNASSIGNED,<RESERVED>..<RESERVED>
116C0-116C9,PVALID,TAKRI DIGIT ZERO..TAKRI DIGIT NINE
116CA-116CF,UNASSIGNED,<RESERVED>..<RESERVED>
116D0-116E3,PVALID,MYANMAR PAO DIGIT ZERO..MYANMAR EASTERN PWO KAREN DIGIT NINE
116E4-116FF,UNASSIGNED,<RESERVED>..<RESERVED>
11700-1171A,PVALID,AHOM LETTER KA..AHOM LETTER ALTERNATE BA
1171B-1171C,UNASSIGNED,<RESERVED>..<RESERVED>
1171D-1172B,PVALID,AHOM CONSONANT SIGN MEDIAL LA..AHOM SIGN KILLER
1172C-1172F,UNASSIGNED,<RESERVED>..<RESERVED>
11730-11739,PVALID,AHOM DIGIT ZERO..AHOM DIGIT NINE
1173A-1173F,ID_DIS or FREE_PVAL,AHOM NUMBER TEN..AHOM SYMBOL VI
11740-11746,PVALID,AHOM LETTER CA..AHOM LETTER LLA
11747-117FF,UNASSIGNED,<RESERVED>..<RESERVED>
11800-1183A,PVALID,DOGRA LETTER A..DOGRA SIGN NUKTA
1183B,ID_DIS or FREE_PVAL,DOGRA ABBREVIATION SIGN
1183C-1189F,UNASSIGNED,<RESERVED>..<RESERVED>
118A0-118E9,PVALID,WARANG CITI CAPITAL LETTER NGAA..WARANG CITI DIGIT NINE
118EA-118F2,ID_DIS or FREE_PVAL,WARANG CITI NUMBER TEN..WARANG CITI NUMBER NINETY
118F3-118FE,UNASSIGNED,<RESERVED>..<RESERVED>
118FF-11906,PVALID,WARANG CITI OM..DIVES AKURU LETTER E
11907-11908,UNASSIGNED,<RESERVED>..<RESERVED>
11909,PVALID,DIVES AKURU LETTER O
1190A-1190B,UNASSIGNED,<RESERVED>..<RESERVED>
1190C-11913,PVALID,DIVES AKURU LETTER KA..DIVES AKURU LETTER JA
11914,UNASSIGNED,<RESERVED>
11915-11916,PVALID,DIVES AKURU LETTER NYA..DIVES AKURU LETTER TTA
11917,UNASSIGNED,<RESERVED>
11918-11935,PVALID,DIVES AKURU LETTER DDA..DIVES AKURU VOWEL SIGN E
11936,UNASSIGNED,<RESERVED>
11937-11938,PVALID,DIVES AKURU VOWEL SIGN AI..DIVES AKURU VOWEL SIGN O
11939-1193A,UNASSIGNED,<RESERVED>..<RESERVED>
1193B-11943,PVALID,DIVES AKURU SIGN ANUSVARA..DIVES AKURU SIGN NUKTA
11944-11946,ID_DIS or FREE_PVAL,DIVES AKURU DOUBLE DANDA..DIVES AKURU END OF TEXT MARK
11947-1194F,UNASSIGNED,<RESERVED>..<RESERVED>
11950-11959,PVALID,DIVES AKURU DIGIT ZERO..DIVES AKURU DIGIT NINE
1195A-1199F,UNASSIGNED,<RESERVED>..<RESERVED>
119A0-119A7,PVALID,NANDINAGARI LETTER A..NANDINAGARI LETTER VOCALIC RR
119A8-119A9,UNASSIGNED,<RESERVED>..<RESERVED>
119AA-119D7,PVALID,NANDINAGARI LETTER E..NANDINAGARI VOWEL SIGN VOCALIC RR
119D8-119D9,UNASSIGNED,<RESERVED>..<RESERVED>
119DA-119E1,PVALID,NANDINAGARI VOWEL SIGN E..NANDINAGARI SIGN AVAGRAHA
119E2,ID_DIS or FREE_PVAL,NANDINAGARI SIGN SIDDHAM
119E3-119E4,PVALID,NANDINAGARI HEADSTROKE..NANDINAGARI VOWEL SIGN PRISHTHAMATRA E
119E5-119FF,UNASSIGNED,<RESERVED>..<RESERVED>
11A00-11A3E,PVALID,ZANABAZAR SQUARE LETTER A..ZANABAZAR SQUARE CLUSTER-FINAL LETTER VA
11A3F-11A46,ID_DIS or FREE_PVAL,ZANABAZAR SQUARE INITIAL HEAD MARK..ZANABAZAR SQUARE CLOSING DOUBLE-LINED HEAD MARK
11A47,PVALID,ZANABAZAR SQUARE SUBJOINER
11A48-11A4F,UNASSIGNED,<RESERVED>..<RESERVED>
11A50-11A99,PVALID,SOYOMBO LETTER A..SOYOMBO SUBJOINER
11A9A-11A9C,ID_DIS or FREE_PVAL,SOYOMBO MARK TSHEG..SOYOMBO MARK DOUBLE SHAD
11A9D,PVALID,SOYOMBO MARK PLUTA
11A9E-11AA2,ID_DIS or FREE_PVAL,SOYOMBO HEAD MARK WITH MOON AND SUN AND TRIPLE FLAME..SOYOMBO TERMINAL MARK-2
11AA3-11AAF,UNASSIGNED,<RESERVED>..<RESERVED>
11AB0-11AF8,PVALID,CANADIAN SYLLABICS NATTILIK HI..PAU CIN HAU GLOTTAL STOP FINAL
11AF9-11AFF,UNASSIGNED,<RESERVED>..<RESERVED>
11B00-11B09,ID_DIS or FREE_PVAL,DEVANAGARI HEAD MARK..DEVANAGARI SIGN MINDU
11B0A-11B5F,UNASSIGNED,<RESERVED>..<RESERVED>
11B60-11B67,PVALID,SHARADA VOWEL SIGN OE..SHARADA VOWEL SIGN CANDRA O
11B68-11BBF,UNASSIGNED,<RESERVED>..<RESERVED>
11BC0-11BE0,PVALID,SUNUWAR LETTER DEVI..SUNUWAR LETTER KLOKO
11BE1,ID_DIS or FREE_PVAL,SUNUWAR SIGN PVO
11BE2-11BEF,UNASSIGNED,<RESERVED>..<RESERVED>
11BF0-11BF9,PVALID,SUNUWAR DIGIT ZERO..SUNUWAR DIGIT NINE
11BFA-11BFF,UNASSIGNED,<RESERVED>..<RESERVED>
11C00-11C08,PVALID,BHAIKSUKI LETTER A..BHAIKSUKI LETTER VOCALIC L
11C09,UNASSIGNED,<RESERVED>
11C0A-11C36,PVALID,BHAIKSUKI LETTER E..BHAIKSUKI VOWEL SIGN VOCALIC L
11C37,UNASSIGNED,<RESERVED>
11C38-11C40,PVALID,BHAIKSUKI VOWEL SIGN E..BHAIKSUKI SIGN AVAGRAHA
