Codepoint,Property,Description
1ED01-1ED3D,ID_DIS or FREE_PVAL,OTTOMAN SIYAQ NUMBER ONE..OTTOMAN SIYAQ FRACTION ONE SIXTH
1ED3E-1EDFF,UNASSIGNED,<RESERVED>..<RESERVED>
1EE00-1EE03,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL ALEF..ARABIC MATHEMATICAL DAL
1EE04,UNASSIGNED,<RESERVED>
1EE05-1EE1F,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL WAW..ARABIC MATHEMATICAL DOTLESS QAF
1EE20,UNASSIGNED,<RESERVED>
1EE21-1EE22,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL BEH..ARABIC MATHEMATICAL INITIAL JEEM
1EE23,UNASSIGNED,<RESERVED>
1EE24,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL HEH
1EE25-1EE26,UNASSIGNED,<RESERVED>..<RESERVED>
1EE27,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL HAH
1EE28,UNASSIGNED,<RESERVED>
1EE29-1EE32,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL YEH..ARABIC MATHEMATICAL INITIAL QAF
1EE33,UNASSIGNED,<RESERVED>
1EE34-1EE37,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL SHEEN..ARABIC MATHEMATICAL INITIAL KHAH
1EE38,UNASSIGNED,<RESERVED>
1EE39,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL DAD
1EE3A,UNASSIGNED,<RESERVED>
1EE3B,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL INITIAL GHAIN
1EE3C-1EE41,UNASSIGNED,<RESERVED>..<RESERVED>
1EE42,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED JEEM
1EE43-1EE46,UNASSIGNED,<RESERVED>..<RESERVED>
1EE47,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED HAH
1EE48,UNASSIGNED,<RESERVED>
1EE49,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED YEH
1EE4A,UNASSIGNED,<RESERVED>
1EE4B,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED LAM
1EE4C,UNASSIGNED,<RESERVED>
1EE4D-1EE4F,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED NOON..ARABIC MATHEMATICAL TAILED AIN
1EE50,UNASSIGNED,<RESERVED>
1EE51-1EE52,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED SAD..ARABIC MATHEMATICAL TAILED QAF
1EE53,UNASSIGNED,<RESERVED>
1EE54,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED SHEEN
1EE55-1EE56,UNASSIGNED,<RESERVED>..<RESERVED>
1EE57,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED KHAH
1EE58,UNASSIGNED,<RESERVED>
1EE59,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED DAD
1EE5A,UNASSIGNED,<RESERVED>
1EE5B,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED GHAIN
1EE5C,UNASSIGNED,<RESERVED>
1EE5D,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED DOTLESS NOON
1EE5E,UNASSIGNED,<RESERVED>
1EE5F,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL TAILED DOTLESS QAF
1EE60,UNASSIGNED,<RESERVED>
1EE61-1EE62,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED BEH..ARABIC MATHEMATICAL STRETCHED JEEM
1EE63,UNASSIGNED,<RESERVED>
1EE64,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED HEH
1EE65-1EE66,UNASSIGNED,<RESERVED>..<RESERVED>
1EE67-1EE6A,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED HAH..ARABIC MATHEMATICAL STRETCHED KAF
1EE6B,UNASSIGNED,<RESERVED>
1EE6C-1EE72,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED MEEM..ARABIC MATHEMATICAL STRETCHED QAF
1EE73,UNASSIGNED,<RESERVED>
1EE74-1EE77,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED SHEEN..ARABIC MATHEMATICAL STRETCHED KHAH
1EE78,UNASSIGNED,<RESERVED>
1EE79-1EE7C,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED DAD..ARABIC MATHEMATICAL STRETCHED DOTLESS BEH
1EE7D,UNASSIGNED,<RESERVED>
1EE7E,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL STRETCHED DOTLESS FEH
1EE7F,UNASSIGNED,<RESERVED>
1EE80-1EE89,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL LOOPED ALEF..ARABIC MATHEMATICAL LOOPED YEH
1EE8A,UNASSIGNED,<RESERVED>
1EE8B-1EE9B,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL LOOPED LAM..ARABIC MATHEMATICAL LOOPED GHAIN
1EE9C-1EEA0,UNASSIGNED,<RESERVED>..<RESERVED>
1EEA1-1EEA3,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL DOUBLE-STRUCK BEH..ARABIC MATHEMATICAL DOUBLE-STRUCK DAL
1EEA4,UNASSIGNED,<RESERVED>
1EEA5-1EEA9,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL DOUBLE-STRUCK WAW..ARABIC MATHEMATICAL DOUBLE-STRUCK YEH
1EEAA,UNASSIGNED,<RESERVED>
1EEAB-1EEBB,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL DOUBLE-STRUCK LAM..ARABIC MATHEMATICAL DOUBLE-STRUCK GHAIN
1EEBC-1EEEF,UNASSIGNED,<RESERVED>..<RESERVED>
1EEF0-1EEF1,ID_DIS or FREE_PVAL,ARABIC MATHEMATICAL OPERATOR MEEM WITH HAH WITH TATWEEL..ARABIC MATHEMATICAL OPERATOR HAH WITH DAL
1EEF2-1EFFF,UNASSIGNED,<RESERVED>..<RESERVED>
1F000-1F02B,ID_DIS or FREE_PVAL,MAHJONG TILE EAST WIND..MAHJONG TILE BACK
1F02C-1F02F,UNASSIGNED,<RESERVED>..<RESERVED>
1F030-1F093,ID_DIS or FREE_PVAL,DOMINO TILE HORIZONTAL BACK..DOMINO TILE VERTICAL-06-06
1F094-1F09F,UNASSIGNED,<RESERVED>..<RESERVED>
1F0A0-1F0AE,ID_DIS or FREE_PVAL,PLAYING CARD BACK..PLAYING CARD KING OF SPADES
1F0AF-1F0B0,UNASSIGNED,<RESERVED>..<RESERVED>
1F0B1-1F0BF,ID_DIS or FREE_PVAL,PLAYING CARD ACE OF HEARTS..PLAYING CARD RED JOKER
1F0C0,UNASSIGNED,<RESERVED>
1F0C1-1F0CF,ID_DIS or FREE_PVAL,PLAYING CARD ACE OF DIAMONDS..PLAYING CARD BLACK JOKER
1F0D0,UNASSIGNED,<RESERVED>
1F0D1-1F0F5,ID_DIS or FREE_PVAL,PLAYING CARD ACE OF CLUBS..PLAYING CARD TRUMP-21
1F0F6-1F0FF,UNASSIGNED,<RESERVED>..<RESERVED>
1F100-1F1AD,ID_DIS or FREE_PVAL,DIGIT ZERO FULL STOP..MASK WORK SYMBOL
1F1AE-1F1E5,UNASSIGNED,<RESERVED>..<RESERVED>
1F1E6-1F202,ID_DIS or FREE_PVAL,REGIONAL INDICATOR SYMBOL LETTER A..SQUARED KATAKANA SA
1F203-1F20F,UNASSIGNED,<RESERVED>..<RESERVED>
1F210-1F23B,ID_DIS or FREE_PVAL,SQUARED CJK UNIFIED IDEOGRAPH-624B..SQUARED CJK UNIFIED IDEOGRAPH-914D
1F23C-1F23F,UNASSIGNED,<RESERVED>..<RESERVED>
1F240-1F248,ID_DIS or FREE_PVAL,TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C..TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557
1F249-1F24F,UNASSIGNED,<RESERVED>..<RESERVED>
1F250-1F251,ID_DIS or FREE_PVAL,CIRCLED IDEOGRAPH ADVANTAGE..CIRCLED IDEOGRAPH ACCEPT
1F252-1F25F,UNASSIGNED,<RESERVED>..<RESERVED>
1F260-1F265,ID_DIS or FREE_PVAL,ROUNDED SYMBOL FOR FU..ROUNDED SYMBOL FOR CAI
1F266-1F2FF,UNASSIGNED,<RESERVED>..<RESERVED>
1F300-1F6D8,ID_DIS or FREE_PVAL,CYCLONE..LANDSLIDE
1F6D9-1F6DB,UNASSIGNED,<RESERVED>..<RESERVED>
1F6DC-1F6EC,ID_DIS or FREE_PVAL,WIRELESS..AIRPLANE ARRIVING
1F6ED-1F6EF,UNASSIGNED,<RESERVED>..<RESERVED>
1F6F0-1F6FC,ID_DIS or FREE_PVAL,SATELLITE..ROLLER SKATE
1F6FD-1F6FF,UNASSIGNED,<RESERVED>..<RESERVED>
1F700-1F7D9,ID_DIS or FREE_PVAL,ALCHEMICAL SYMBOL FOR QUINTESSENCE..NINE POINTED WHITE STAR
1F7DA-1F7DF,UNASSIGNED,<RESERVED>..<RESERVED>
1F7E0-1F7EB,ID_DIS or FREE_PVAL,LARGE ORANGE CIRCLE..LARGE BROWN SQUARE
1F7EC-1F7EF,UNASSIGNED,<RESERVED>..<RESERVED>
1F7F0,ID_DIS or FREE_PVAL,HEAVY EQUALS SIGN
1F7F1-1F7FF,UNASSIGNED,<RESERVED>..<RESERVED>
1F800-1F80B,ID_DIS or FREE_PVAL,LEFTWARDS ARROW WITH SMALL TRIANGLE ARROWHEAD..DOWNWARDS ARROW WITH LARGE TRIANGLE ARROWHEAD
1F80C-1F80F,UNASSIGNED,<RESERVED>..<RESERVED>
1F810-1F847,ID_DIS or FREE_PVAL,LEFTWARDS ARROW WITH SMALL EQUILATERAL ARROWHEAD..DOWNWARDS HEAVY ARROW
1F848-1F84F,UNASSIGNED,<RESERVED>..<RESERVED>
1F850-1F859,ID_DIS or FREE_PVAL,LEFTWARDS SANS-SERIF ARROW..UP DOWN SANS-SERIF ARROW
1F85A-1F85F,UNASSIGNED,<RESERVED>..<RESERVED>
1F860-1F887,ID_DIS or FREE_PVAL,WIDE-HEADED LEFTWARDS LIGHT BARB ARROW..WIDE-HEADED SOUTH WEST VERY HEAVY BARB ARROW
1F888-1F88F,UNASSIGNED,<RESERVED>..<RESERVED>
1F890-1F8AD,ID_DIS or FREE_PVAL,LEFTWARDS TRIANGLE ARROWHEAD..WHITE ARROW SHAFT WIDTH TWO THIRDS
1F8AE-1F8AF,UNASSIGNED,<RESERVED>..<RESERVED>
1F8B0-1F8BB,ID_DIS or FREE_PVAL,ARROW POINTING UPWARDS THEN NORTH WEST..SOUTH WEST ARROW FROM BAR
1F8BC-1F8BF,UNASSIGNED,<RESERVED>..<RESERVED>
1F8C0-1F8C1,ID_DIS or FREE_PVAL,LEFTWARDS ARROW FROM DOWNWARDS ARROW..RIGHTWARDS ARROW FROM DOWNWARDS ARROW
1F8C2-1F8CF,UNASSIGNED,<RESERVED>..<RESERVED>
1F8D0-1F8D8,ID_DIS or FREE_PVAL,LONG RIGHTWARDS ARROW OVER LONG LEFTWARDS ARROW..LONG LEFT RIGHT ARROW WITH DEPENDENT LOBE
1F8D9-1F8FF,UNASSIGNED,<RESERVED>..<RESERVED>
1F900-1FA57,ID_DIS or FREE_PVAL,CIRCLED CROSS FORMEE WITH FOUR DOTS..BLACK CHESS ALFIL
1FA58-1FA5F,UNASSIGNED,<RESERVED>..<RESERVED>
1FA60-1FA6D,ID_DIS or FREE_PVAL,XIANGQI RED GENERAL..XIANGQI BLACK SOLDIER
1FA6E-1FA6F,UNASSIGNED,<RESERVED>..<RESERVED>
1FA70-1FA7C,ID_DIS or FREE_PVAL,BALLET SHOES..CRUTCH
1FA7D-1FA7F,UNASSIGNED,<RESERVED>..<RESERVED>
1FA80-1FA8A,ID_DIS or FREE_PVAL,YO-YO..TROMBONE
1FA8B-1FA8D,UNASSIGNED,<RESERVED>..<RESERVED>
1FA8E-1FAC6,ID_DIS or FREE_PVAL,TREASURE CHEST..FINGERPRINT
1FAC7,UNASSIGNED,<RESERVED>
1FAC8,ID_DIS or FREE_PVAL,HAIRY CREATURE
1FAC9-1FACC,UNASSIGNED,<RESERVED>..<RESERVED>
1FACD-1FADC,ID_DIS or FREE_PVAL,ORCA..ROOT VEGETABLE
1FADD-1FADE,UNASSIGNED,<RESERVED>..<RESERVED>
1FADF-1FAEA,ID_DIS or FREE_PVAL,SPLATTER..DISTORTED FACE
1FAEB-1FAEE,UNASSIGNED,<RESERVED>..<RESERVED>
1FAEF-1FAF8,ID_DIS or FREE_PVAL,FIGHT CLOUD..RIGHTWARDS PUSHING HAND
1FAF9-1FAFF,UNASSIGNED,<RESERVED>..<RESERVED>
1FB00-1FB92,ID_DIS or FREE_PVAL,BLOCK SEXTANT-1..UPPER HALF INVERSE MEDIUM SHADE AND LOWER HALF BLOCK
1FB93,UNASSIGNED,<RESERVED>
1FB94-1FBFA,ID_DIS or FREE_PVAL,LEFT HALF INVERSE MEDIUM SHADE AND RIGHT HALF BLOCK..ALARM BELL SYMBOL
1FBFB-1FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
1FFFE-1FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
20000-2A6DF,PVALID,"<CJK IDEOGRAPH EXTENSION B, FIRST>..<CJK IDEOGRAPH EXTENSION B, LAST>"
2A6E0-2A6FF,UNASSIGNED,<RESERVED>..<RESERVED>
2A700-2B81D,PVALID,"<CJK IDEOGRAPH EXTENSION C, FIRST>..<CJK IDEOGRAPH EXTENSION D, LAST>"
2B81E-2B81F,UNASSIGNED,<RESERVED>..<RESERVED>
2B820-2CEAD,PVALID,"<CJK IDEOGRAPH EXTENSION E, FIRST>..<CJK IDEOGRAPH EXTENSION E, LAST>"
2CEAE-2CEAF,UNASSIGNED,<RESERVED>..<RESERVED>
2CEB0-2EBE0,PVALID,"<CJK IDEOGRAPH EXTENSION F, FIRST>..<CJK IDEOGRAPH EXTENSION F, LAST>"
2EBE1-2EBEF,UNASSIGNED,<RESERVED>..<RESERVED>
2EBF0-2EE5D,PVALID,"<CJK IDEOGRAPH EXTENSION I, FIRST>..<CJK IDEOGRAPH EXTENSION I, LAST>"
2EE5E-2F7FF,UNASSIGNED,<RESERVED>..<RESERVED>
2F800-2FA1D,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-2F800..CJK COMPATIBILITY IDEOGRAPH-2FA1D
2FA1E-2FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
2FFFE-2FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
30000-3134A,PVALID,"<CJK IDEOGRAPH EXTENSION G, FIRST>..<CJK IDEOGRAPH EXTENSION G, LAST>"
3134B-3134F,UNASSIGNED,<RESERVED>..<RESERVED>
31350-33479,PVALID,"<CJK IDEOGRAPH EXTENSION H, FIRST>..<CJK IDEOGRAPH EXTENSION J, LAST>"
3347A-3FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
3FFFE-3FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
40000-4FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
4FFFE-4FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
50000-5FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
5FFFE-5FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
60000-6FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
6FFFE-6FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
70000-7FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
7FFFE-7FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
80000-8FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
8FFFE-8FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
90000-9FFFD,UNASSIGNED,<RESERVED>..<RESERVED>
9FFFE-9FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
A0000-AFFFD,UNASSIGNED,<RESERVED>..<RESERVED>
AFFFE-AFFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
B0000-BFFFD,UNASSIGNED,<RESERVED>..<RESERVED>
BFFFE-BFFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
C0000-CFFFD,UNASSIGNED,<RESERVED>..<RESERVED>
CFFFE-CFFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
D0000-DFFFD,UNASSIGNED,<RESERVED>..<RESERVED>
DFFFE-DFFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
E0000,UNASSIGNED,<RESERVED>
E0001,DISALLOWED,LANGUAGE TAG
E0002-E001F,UNASSIGNED,<RESERVED>..<RESERVED>
E0020-E007F,DISALLOWED,TAG SPACE..CANCEL TAG
E0080-E00FF,UNASSIGNED,<RESERVED>..<RESERVED>
E0100-E01EF,DISALLOWED,VARIATION SELECTOR-17..VARIATION SELECTOR-256
E01F0-EFFFD,UNASSIGNED,<RESERVED>..<RESERVED>
EFFFE-10FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
